id,nombre,apellido,edad,telefono,fechaNacimiento
1,Camila,Navarro,35,907808372,1991-02-25
2,Diego,Ramírez,28,995843084,1998-01-20
3,José,Ramírez,29,971857072,1996-12-05
4,Sofía,Navarro,18,915403218,2007-10-30
5,Diego,Pérez,26,931060103,2000-06-15
6,Kevin,Quispe,26,963816034,1999-09-07
7,Valeria,Flores,28,977058836,1997-10-22
8,Rosa,Cruz,21,929969361,2004-10-01
9,María,López,24,989462567,2001-10-07
10,Lucía,García,18,951319029,2008-06-21
11,Jorge,García,30,954715047,1995-10-10
12,José,García,35,909917600,1990-12-01
13,Daniel,Vargas,32,904746509,1993-07-24
14,Sofía,Díaz,31,926329531,1995-04-26
15,Daniel,Cruz,24,994082475,2002-05-30
16,Lucía,Sánchez,19,991522393,2006-07-26
17,Andrea,Cruz,24,913272509,2002-02-12
18,Bruno,Díaz,24,957485567,2002-02-22
19,Miguel,Vargas,32,980479852,1993-08-14
20,Juan,Ramírez,22,952118445,2003-10-12
21,Daniel,Mendoza,28,964569246,1998-02-11
22,Miguel,García,23,998699551,2002-10-05
23,Daniel,Navarro,18,978049476,2007-11-03
24,Juan,Rodríguez,25,977699581,2001-05-13
25,Andrea,Quispe,17,952254796,2008-08-10
26,Sofía,Navarro,18,987093485,2008-03-09
27,Valeria,Navarro,19,901152381,2007-06-20
28,Pedro,Rodríguez,32,990628227,1993-09-07
29,María,Torres,24,931363865,2002-03-19
30,Sofía,Navarro,29,917514064,1997-05-23
31,Ana,Vargas,27,953116827,1999-01-19
32,Lucía,Díaz,31,948943842,1994-12-08
33,Daniel,Navarro,19,953842436,2006-11-22
34,Felipe,Mendoza,23,997814189,2002-07-11
35,Felipe,Cruz,29,986144832,1996-07-27
36,Felipe,Torres,34,973019759,1991-12-11
37,José,Castillo,23,932250443,2003-01-07
38,Andrea,Huamán,20,916418078,2005-08-10
39,José,Sánchez,24,971985669,2002-06-22
40,Carlos,Torres,25,969673566,2000-09-12
41,Felipe,Flores,31,962599115,1994-10-29
42,Camila,Torres,32,943809609,1994-03-14
43,Pedro,Vargas,33,907200394,1993-05-19
44,Lucía,Flores,35,924799783,1990-09-09
45,Miguel,Vargas,19,964450458,2007-06-13
46,Camila,López,20,921780000,2005-07-18
47,María,Quispe,23,959179871,2002-12-20
48,Pedro,Silva,30,926780282,1996-04-25
49,Diego,Huamán,18,968927309,2007-10-19
50,Lucía,Navarro,28,921135756,1997-11-06
